STATION,DATE,DP01,DP01_ATTRIBUTES,DP05,DP05_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES
UPM00033345,1961,113,r,,,51,r,,,,,1,r,111,r,45,r,98,r,5,r,503.5," ,r",,
UPM00033345,1962,134,r,,,70,r,,,,,1,r,124,r,50,r,87,r,0,r,707.1," ,r",,
UPM00033345,1963,127,r,,,50,r,,,,,22,r,138,r,95,r,129,r,8,r,431.4," ,r",,
UPM00033345,1964,131,r,,,65,r,,,,,7,r,130,r,72,r,87,r,2,r,525.5," ,r",,
UPM00033345,1965,125,r,,,59,r,,,,,3,r,144,r,60,r,82,r,0,r,589.6," ,r",,
UPM00033345,1966,173,r,,,86,r,,,,,3,r,109,r,53,r,110,r,3,r,867.2," ,r",,
UPM00033345,1967,162,r,,,67,r,,,,,9,r,114,r,68,r,114,r,1,r,698.2," ,r",,
UPM00033345,1968,151,r,,,72,r,,,,,9,r,131,r,72,r,105,r,2,r,828.1," ,r",,
UPM00033345,1969,142,r,,,74,r,,,,,14,r,130,r,84,r,88,r,1,r,745.7," ,r",,
UPM00033345,1970,177,r,,,89,r,,,,,4,r,118,r,54,r,103,r,0,r,903.9," ,r",,
UPM00033345,1971,168,r,,,81,r,,,,,0,r,112,r,47,r,94,r,1,r,732.9," ,r",,
UPM00033345,1972,112,r,,,52,r,,,,,11,r,113,r,59,r,114,r,8,r,542.8," ,r",,
UPM00033345,1973,135,r,,,62,r,,,,,4,r,121,r,45,r,99,r,3,r,569," ,r",,
UPM00033345,1974,126,r,,,58,r,,,,,0,r,98,r,39,r,100,r,1,r,677," ,r",,
