id,latitude,longitude,elevation,state,name,ADM0_EN,ADM0_KK,ADM0_RU,ADM0_PCODE,ADM1_EN,ADM1_KK,ADM1_RU,ADM1_PCODE
KZ000028879,53.283,69.383,"229",,KOKSHETAY,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000028978,52.533,68.75,"399",,BALKASINO,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000028984,52.95,70.217,"384",,SUCINSK,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035067,51.883,66.333,"221",,ESIL,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035069,51.9,67.3,"377",,JAKSI,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035078,51.8167,68.3667,"304",,ATBASAR,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035081,52.4,70.2,"331",,VOZNESENKA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035082,52.4,71.8,"271",,"STEPNOGORSK,AMSG",Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035085,52,70.95,"384",,AKKOL,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035163,51.6,67.567,"272",,KIJMA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035166,51.267,67.233,"252",,KAZGORODOK,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035169,51.1,66.3,"237",,DERJAVINSK,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035173,51.617,69.8,"305",,ZHALTYR,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035179,51.1,69.5,"340",,KRASNOZNAMENKA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035182,51.7,71,"367",,"SHORTANDI,AGRO",Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035184,51.3,70.7,"322",,NOVO-ISHIMSKOE,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035191,51.633,73.167,"397",,JERMENTAU,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035263,50.9,66.6,"294",,IMENI LENIN.KOMSOMOLA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035283,50.8,72.3,"426",,VISNEVKA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035284,50.583,70,"330",,KURGALJINO,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000035381,50.2,70.3,"370",,17_LET_OKTYABRYA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Akmola,Ақмола,Акмолинская,KZ11
KZ000028764,54.5,65.8,"160",,PRESNOGOR'KOVKA,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
KZ000028843,53.75,62.067,"187",,KOMSOMOLEC,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,Kostanay,Қостанай,Костанайская,KZ39
