"id","latitude","longitude","elevation","state","name"
"KZ000028676","54.8331","69.1500","142.0","","PETROPAVLOVSK"
"KZ000028687","54.9000","70.4500","134.0","","BULAYEVO"
"KZ000028764","54.5000","65.8000","160.0","","PRESNOGOR'KOVKA"
"KZ000028766","54.3670","66.9670","153.0","","BLACOVESCHENKA"
"KZ000028775","54.4000","68.4000","115.0","","JAVLENKA"
"KZ000028779","54.2000","69.5000","139.0","","CHAGLI"
"KZ000028785","54.4330","70.9170","127.0","","VOZVISHEN SOVKHOZ"
"KZ000028843","53.7500","62.0670","187.0","","KOMSOMOLEC"
"KZ000028854","53.7500","63.1670","184.0","","FYODOROV SOVKHOZ"
"KZ000028856","53.6000","64.3000","178.0","","MIHAYLOVKA,KUSTANAY"
"KZ000028861","53.8000","65.3000","180.0","","NOVOPOKROVKA"
"KZ000028863","53.9000","67.4000","128.0","","SERGEEVKA"
"KZ000028867","53.3170","65.5500","210.0","","URICKY"
"KZ000028868","53.3000","67.0000","190.0","","CHERBONNIY,SOVHOZ"
"KZ000028873","53.8330","69.7830","153.0","","KRASNO-ARMEYSK"
"KZ000028877","53.3170","68.1000","319.0","","VOLODARSKOE"
"KZ000028879","53.2830","69.3830","229.0","","KOKSHETAY"
"KZ000028884","53.6000","70.5000","165.0","","CHKALOVO"
"KZ000028886","53.6330","72.3670","138.0","","KZIL-TUS SOVKHOZ"
"KZ000028888","53.9000","71.5000","123.0","","KZILTUSSKIY,SOVHOZ"
"KZ000028894","53.7000","73.2000","69.0","","OZERNIY,SOVHOZ"
"KZ000028943","53.2000","62.3000","218.0","","ESENKULSKAYA"
"KZ000028948","52.7170","61.1670","260.0","","GEORGIYEVKA"
"KZ000028952","53.2167","63.6167","170.0","","KUSTANAI"
"KZ000028954","52.9000","63.2000","150.0","","RUDNIY"
"KZ000028957","52.6830","62.6000","208.0","","TOBOL"
"KZ000028966","52.8170","66.9670","227.0","","RUZAEVKA"
"KZ000028967","52.6670","65.5000","209.0","","KARASUL"
"KZ000028975","52.9000","68.2000","330.0","","ARIC-BALIK"
"KZ000028978","52.5330","68.7500","399.0","","BALKASINO"
"KZ000028984","52.9500","70.2170","384.0","","SUCINSK"
"KZ000028986","52.9670","71.9330","196.0","","ZOLOTAJA NIVA"
"KZ000028993","53.1500","74.2000","126.0","","GOLUBOVKA"
