id,latitude,longitude,elevation,state,name,name_2,name_ru,boundary,admin_leve,ref,int_ref,name_ca,name_de,name_en,name_es,name_fr,name_hu,name_ja,name_lt,name_nl,name_pl,name_pt,name_sv,name_uk,name_vi,name_zh,alt_name,int_name,timezone,ISO3166-2,wikipedia,population,addr_count,is_in_coun,gost_7.67-,is_in_cont,official_s,populati_1,is_in_co_1,ref_en,name_fi,name_hr,name_no,name_sk,name_sr,oktmo_user,border_typ,name_af,name_az,name_be,name_cy,name_el,name_eo,name_hy,name_ka,name_kv,name_oc,name_os,name_sh,name_sw,name_tr,name_tt,website,name_bxr,name_kbd,name_mhr,name_myv,name_sah,name_be-ta,name_ce,name_cs,name_cv,name_et,name_ga,name_he,name_it,name_ko,name_ku,name_lv,name_mn,name_ms,name_ro,name_sl,name_uz,name_yi,name_dsb,name_hsb,name_szl,name_xal,alt_name_d,name_ar,name_ba,name_bg,name_bs,name_da,name_eu,name_fa,name_hi,name_id,name_kk,name_mk,name_mr,name_nn,name_se,name_ta,name_tg,name_tl,name_ur,name_ace,name_hak,name_kaa,name_lrc,name_pam,name_pnb,name_sco,name_udm,name_vep,name_war,name_zh-mi,note,name_crh,wikidata,wikipedia_,wikipedi_1,koatuu,ref_uk,name_la,flag,is_in,ref_ru,name_cu,alt_name_v,name_av,name_inh,name_krc,official_n,official_1,cladr_code,short_name,official_2,name_int,populati_2,name_krl,source,name_mrj,name_is,source_url,name_be-x-,gis-lab_st,official_3,official_4,official_5,official_6,official_7,place,name_ab,name_fy,name_lb,name_nb,name_ast,name_tzl,old_name,old_name_e,old_name_1,old_name_f,old_name_o,old_name_v,addr_postc,old_alt_na,name_koi,name_lbe,name_lez,name_az-cy,official_8,official_9,official10,official11,official12,official13,name_ky,ssrf_code,cadaster_c,omkte_code,addr_regio,alt_name_r,name_atv,alt_name_c,alt_name_e,alt_name_f,alt_name_n,name_sq,name_su,name_ug,name_tyv,official14,name_aba,name_nog,alt_name_s
RSM00027906,52.933,36,"203",,OREL,Îðëîâñêàÿ îáëàñòü,Îðëîâñêàÿ îáëàñòü,administrative,"4",RU-ORL,RU-ORL,Provincia d'Oriol,Oblast Orjol,Oryol Oblast,Oblast de Oriol,Oblast d'Orel,,,Oriolo sritis,Oblast Orjol,Obwod orlowski,Oblast de Oriol,,Îðëîâñüêà îáëàñòü,,,,,Europe/Moscow,RU-ORL,ru:Îðëîâñêàÿ îáëàñòü,,RU,,ÐÎÔ-ÎÐË,,,,,,,,,,Îðëîâñêà îáëàñò,,region,,,Àðëî¢ñêàÿ âîáëàñöü,,,Orjola provinco,?????? ????,??????? ????,,,Îð¸ëû îáë?ñò,Orelska oblast,,,Îðåë ?ëê?ñå,,,,,,Îð¸ë óîáàëà?à,Àðëî¢ñêàÿ âîáëàñüöü,,Orelska oblast,,,,,Oblast' di Orel,,,,,,Regiunea Oriol,,,,,,,Îðëîâà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Öåíòðàëüíûé ôåäåðàëüíûé îêðóã,,,,,,,,,"5700000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034013,52.433,37.6,"179",,LIVNY,Îðëîâñêàÿ îáëàñòü,Îðëîâñêàÿ îáëàñòü,administrative,"4",RU-ORL,RU-ORL,Provincia d'Oriol,Oblast Orjol,Oryol Oblast,Oblast de Oriol,Oblast d'Orel,,,Oriolo sritis,Oblast Orjol,Obwod orlowski,Oblast de Oriol,,Îðëîâñüêà îáëàñòü,,,,,Europe/Moscow,RU-ORL,ru:Îðëîâñêàÿ îáëàñòü,,RU,,ÐÎÔ-ÎÐË,,,,,,,,,,Îðëîâñêà îáëàñò,,region,,,Àðëî¢ñêàÿ âîáëàñöü,,,Orjola provinco,?????? ????,??????? ????,,,Îð¸ëû îáë?ñò,Orelska oblast,,,Îðåë ?ëê?ñå,,,,,,Îð¸ë óîáàëà?à,Àðëî¢ñêàÿ âîáëàñüöü,,Orelska oblast,,,,,Oblast' di Orel,,,,,,Regiunea Oriol,,,,,,,Îðëîâà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Öåíòðàëüíûé ôåäåðàëüíûé îêðóã,,,,,,,,,"5700000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034240,50.8,42,"110",,URJUPINSK,Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034253,50.9,43.8,"132",,ELAN',Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034254,50.533,42.683,"98",,NOVOANNENSKIJ,Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034262,50.833,44.567,"114",,RUDNYA,Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034267,50.367,44.117,"102",,DANILOVKA,Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034356,49.8,43.7,"119",,FROLOVO,Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034357,49.567,42.75,"200",,SERAFIMOVIC,Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSM00034363,50.067,45.367,"119",,KAMYSIN,Âîëãîãðàäñêàÿ îáëàñòü,Âîëãîãðàäñêàÿ îáëàñòü,administrative,"4",RU-VGG,RU-VGG,Provincia de Volgograd,Oblast Wolgograd,Volgograd Oblast,,Oblast de Volgograd,,?????????,Volgogrado sritis,Oblast Wolgograd,Obwod wolgogradzki,Oblast de Volgogrado,Volgograd oblast,Âîëãîãðàäñüêà îáëàñòü,Volgograd (t?nh),??????,,Volgograd Oblast,Europe/Volgograd,RU-VGG,ru:Âîëãîãðàäñêàÿ îáëàñòü,"2611200",RU,,ÐÎÔ-ÂÎÃ,,ru:îáëàñòü,,,,,,,Volgogradska oblast,,,region,,Volqoqrad vilay?ti,Âàëãàãðàäñêàÿ âîáëàñöü,,,,?????????? ????,??????????? ????,Âîëãîãðàä îáëàñüò,,Âîëãîãðàäû îáë?ñò,,,,Âîëãîãðàä ?ëê?ñå,,,,,Ðàâîøîíü ¸íêñ,Âîëãîãðàä óîáàëà?à,Âàëãàãðàäçêàÿ âîáëàñüöü,Âîëãîãðàäàí îáëàñòü,,Âîëãîãðàä îáëàce,,,,Oblast' di Volgograd,,,,,,Regiunea Volgograd,Volgograjska oblast,Volgograd viloyati,,,,,À?øà ò?ã?ë?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â ñîîòâåòñòâèè ñî ñïåöèôèêàöèåé Relation:boundary, collection_of_member Äîðîãè (rel 1783981) íå ìîæåò áûòü åå ÷ëåíîì. Óäàëÿþ îòíîøåíèå 1783981, òàê êàê íàðóøåíèå ñïåöèôèêàöèè âåäåò ê íåâîçìîæíîñòè ïîëó÷åíèÿ GeoJSON äëÿ Âîëãîãðàäñêîé îáëàñòè.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
