"","STATION","DATE","OBLAST","COUNTRY","DP01","DP01_ATTRIBUTES","DP05","DP05_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"1","KZ000028676",1961,"North Kazakhstan","Kazakhstan",116,"r",NA,NA,33,"r",NA,NA,NA,NA,53,"r",203,"r",132,"r",90,"r",4,"r",333.4,",r",NA,NA
"2","KZ000028676",1962,"North Kazakhstan","Kazakhstan",99,"r",NA,NA,32,"r",NA,NA,NA,NA,57,"r",190,"r",122,"r",92,"r",5,"r",291.9,",r",NA,NA
"3","KZ000028676",1963,"North Kazakhstan","Kazakhstan",113,"r",NA,NA,42,"r",NA,NA,NA,NA,57,"r",198,"r",131,"r",72,"r",10,"r",341.3,",r",NA,NA
"4","KZ000028676",1964,"North Kazakhstan","Kazakhstan",129,"r",NA,NA,43,"r",NA,NA,NA,NA,79,"r",205,"r",149,"r",80,"r",0,"r",405.6,",r",NA,NA
"5","KZ000028676",1965,"North Kazakhstan","Kazakhstan",91,"r",NA,NA,32,"r",NA,NA,NA,NA,58,"r",191,"r",140,"r",105,"r",12,"r",255.1,",r",NA,NA
"6","KZ000028676",1966,"North Kazakhstan","Kazakhstan",154,"r",NA,NA,61,"r",NA,NA,NA,NA,87,"r",200,"r",147,"r",98,"r",4,"r",484.4,",r",NA,NA
"7","KZ000028676",1967,"North Kazakhstan","Kazakhstan",103,"r",NA,NA,35,"r",NA,NA,NA,NA,69,"r",175,"r",127,"r",93,"r",5,"r",280.3,",r",NA,NA
"8","KZ000028676",1968,"North Kazakhstan","Kazakhstan",139,"r",NA,NA,40,"r",NA,NA,NA,NA,85,"r",203,"r",NA,"",NA,"",NA,"",365.7,",r",NA,NA
"9","KZ000028676",1969,"North Kazakhstan","Kazakhstan",135,"r",NA,NA,47,"r",NA,NA,NA,NA,96,"r",208,"r",NA,"",NA,"",NA,"",416.3,",r",NA,NA
"10","KZ000028676",1970,"North Kazakhstan","Kazakhstan",153,"r",NA,NA,54,"r",NA,NA,NA,NA,78,"r",195,"r",131,"r",69,"r",1,"r",408.7,",r",NA,NA
