,PRCP > 0,DATE,COUNTRY,n of stations
8,TRUE,1961,Kazakhstan,33
11,TRUE,1962,Kazakhstan,33
14,TRUE,1963,Kazakhstan,37
17,TRUE,1964,Kazakhstan,37
20,TRUE,1965,Kazakhstan,33
23,TRUE,1966,Kazakhstan,39
26,TRUE,1967,Kazakhstan,35
29,TRUE,1968,Kazakhstan,39
32,TRUE,1969,Kazakhstan,42
35,TRUE,1970,Kazakhstan,45
38,TRUE,1971,Kazakhstan,49
41,TRUE,1972,Kazakhstan,48
44,TRUE,1973,Kazakhstan,50
47,TRUE,1974,Kazakhstan,48
50,TRUE,1975,Kazakhstan,49
53,TRUE,1976,Kazakhstan,50
56,TRUE,1977,Kazakhstan,10
59,TRUE,1978,Kazakhstan,63
62,TRUE,1979,Kazakhstan,63
65,TRUE,1980,Kazakhstan,18
68,TRUE,1981,Kazakhstan,65
71,TRUE,1982,Kazakhstan,65
74,TRUE,1983,Kazakhstan,64
77,TRUE,1984,Kazakhstan,65
80,TRUE,1985,Kazakhstan,7
83,TRUE,1986,Kazakhstan,64
86,TRUE,1987,Kazakhstan,5
89,TRUE,1988,Kazakhstan,5
92,TRUE,1989,Kazakhstan,8
95,TRUE,1990,Kazakhstan,4
98,TRUE,1991,Kazakhstan,4
101,TRUE,1992,Kazakhstan,4
104,TRUE,1993,Kazakhstan,4
107,TRUE,1994,Kazakhstan,4
110,TRUE,1995,Kazakhstan,4
113,TRUE,1996,Kazakhstan,4
116,TRUE,1997,Kazakhstan,4
119,TRUE,1998,Kazakhstan,4
122,TRUE,1999,Kazakhstan,4
125,TRUE,2000,Kazakhstan,4
128,TRUE,2001,Kazakhstan,5
131,TRUE,2002,Kazakhstan,5
134,TRUE,2003,Kazakhstan,5
137,TRUE,2004,Kazakhstan,4
140,TRUE,2005,Kazakhstan,5
9,TRUE,1961,Russia,110
12,TRUE,1962,Russia,118
15,TRUE,1963,Russia,120
18,TRUE,1964,Russia,108
21,TRUE,1965,Russia,103
24,TRUE,1966,Russia,35
27,TRUE,1967,Russia,116
30,TRUE,1968,Russia,117
33,TRUE,1969,Russia,92
36,TRUE,1970,Russia,120
39,TRUE,1971,Russia,116
42,TRUE,1972,Russia,119
45,TRUE,1973,Russia,109
48,TRUE,1974,Russia,115
51,TRUE,1975,Russia,114
54,TRUE,1976,Russia,86
57,TRUE,1977,Russia,94
60,TRUE,1978,Russia,94
63,TRUE,1979,Russia,122
66,TRUE,1980,Russia,120
69,TRUE,1981,Russia,118
72,TRUE,1982,Russia,117
75,TRUE,1983,Russia,118
78,TRUE,1984,Russia,121
81,TRUE,1985,Russia,122
84,TRUE,1986,Russia,120
87,TRUE,1987,Russia,120
90,TRUE,1988,Russia,114
93,TRUE,1989,Russia,100
96,TRUE,1990,Russia,117
99,TRUE,1991,Russia,115
102,TRUE,1992,Russia,122
105,TRUE,1993,Russia,101
108,TRUE,1994,Russia,101
111,TRUE,1995,Russia,100
114,TRUE,1996,Russia,45
117,TRUE,1997,Russia,41
120,TRUE,1998,Russia,36
123,TRUE,1999,Russia,43
126,TRUE,2000,Russia,43
129,TRUE,2001,Russia,43
132,TRUE,2002,Russia,43
135,TRUE,2003,Russia,43
138,TRUE,2004,Russia,43
141,TRUE,2005,Russia,43
143,TRUE,2006,Russia,43
145,TRUE,2007,Russia,43
147,TRUE,2008,Russia,43
149,TRUE,2009,Russia,43
151,TRUE,2010,Russia,43
153,TRUE,2011,Russia,43
155,TRUE,2012,Russia,43
157,TRUE,2013,Russia,54
159,TRUE,2014,Russia,49
161,TRUE,2015,Russia,42
163,TRUE,2016,Russia,56
165,TRUE,2017,Russia,58
167,TRUE,2018,Russia,57
169,TRUE,2019,Russia,25
171,TRUE,2020,Russia,21
1,FALSE,1977,Ukraine,2
2,FALSE,1978,Ukraine,2
