"","COUNTRY","DATE","average"
"1","Kazakhstan",1961,291.230303030303
"2","Kazakhstan",1962,251.257575757576
"3","Kazakhstan",1963,316.597297297297
"4","Kazakhstan",1964,343.908108108108
"5","Kazakhstan",1965,231.872727272727
"6","Kazakhstan",1966,315.782051282051
"7","Kazakhstan",1967,286.782857142857
"8","Kazakhstan",1968,276.628205128205
"9","Kazakhstan",1969,366.588095238095
"10","Kazakhstan",1970,284.215555555556
"11","Kazakhstan",1971,315.275510204082
"12","Kazakhstan",1972,296.995833333333
"13","Kazakhstan",1973,321.238
"14","Kazakhstan",1974,274.604166666667
"15","Kazakhstan",1975,225.469387755102
"16","Kazakhstan",1976,275.508
"17","Kazakhstan",1977,356.3
"18","Kazakhstan",1978,280.530158730159
"19","Kazakhstan",1979,365.360317460317
"20","Kazakhstan",1980,297.094444444444
"21","Kazakhstan",1981,276.227692307692
"22","Kazakhstan",1982,329.42
"23","Kazakhstan",1983,307.8328125
"24","Kazakhstan",1984,303.9
"25","Kazakhstan",1985,309.357142857143
"26","Kazakhstan",1986,316.1671875
"27","Kazakhstan",1987,358.22
"28","Kazakhstan",1988,287.1
"29","Kazakhstan",1989,316.075
"30","Kazakhstan",1990,441.075
"31","Kazakhstan",1991,239.4
"32","Kazakhstan",1992,351.9
"33","Kazakhstan",1993,408.9
"34","Kazakhstan",1994,416.15
"35","Kazakhstan",1995,325.525
"36","Kazakhstan",1996,316.7
"37","Kazakhstan",1997,286.15
"38","Kazakhstan",1998,253.6
"39","Kazakhstan",1999,366.9
"40","Kazakhstan",2000,355.525
"41","Kazakhstan",2001,383.68
"42","Kazakhstan",2002,316.72
"43","Kazakhstan",2003,290.64
"44","Kazakhstan",2004,267.05
"45","Kazakhstan",2005,293.56
"46","Russia",1961,551.605454545455
"47","Russia",1962,476.759322033898
"48","Russia",1963,528.160833333333
"49","Russia",1964,508.167592592593
"50","Russia",1965,481.11067961165
"51","Russia",1966,605.468571428571
"52","Russia",1967,563.805172413793
"53","Russia",1968,514.013675213675
"54","Russia",1969,503.233695652174
"55","Russia",1970,604.833333333333
"56","Russia",1971,486.203448275862
"57","Russia",1972,447.244537815126
"58","Russia",1973,650.211926605505
"59","Russia",1974,510.294782608696
"60","Russia",1975,445.764035087719
"61","Russia",1976,541.93023255814
"62","Russia",1977,667.337234042553
"63","Russia",1978,582.272340425532
"64","Russia",1979,510.989344262295
"65","Russia",1980,637.87
"66","Russia",1981,609.570338983051
"67","Russia",1982,529.649572649573
"68","Russia",1983,546.251694915254
"69","Russia",1984,453.714876033058
"70","Russia",1985,595.717213114754
"71","Russia",1986,458.788333333333
"72","Russia",1987,621.966666666667
"73","Russia",1988,638.699122807017
"74","Russia",1989,619.37
"75","Russia",1990,616.423076923077
"76","Russia",1991,509.971304347826
"77","Russia",1992,620.287704918033
"78","Russia",1993,585.537623762376
"79","Russia",1994,502.453465346535
"80","Russia",1995,679.096
"81","Russia",1996,529.268888888889
"82","Russia",1997,680.246341463415
"83","Russia",1998,470.033333333333
"84","Russia",1999,581.351162790698
"85","Russia",2000,593.990697674419
"86","Russia",2001,693.511627906977
"87","Russia",2002,612.320930232558
"88","Russia",2003,560.839534883721
"89","Russia",2004,711.579069767442
"90","Russia",2005,572.811627906977
"91","Russia",2006,601.558139534884
"92","Russia",2007,548.739534883721
"93","Russia",2008,522.825581395349
"94","Russia",2009,541.525581395349
"95","Russia",2010,555.195348837209
"96","Russia",2011,566.993023255814
"97","Russia",2012,532.4
"98","Russia",2013,610.553703703704
"99","Russia",2014,483.030612244898
"100","Russia",2015,533.511904761905
"101","Russia",2016,699.055357142857
"102","Russia",2017,585.424137931034
"103","Russia",2018,522.552631578947
"104","Russia",2019,533.216
"105","Russia",2020,503.142857142857
"106","Ukraine",1961,413.090217391304
"107","Ukraine",1962,483.317582417582
"108","Ukraine",1963,431.089655172414
"109","Ukraine",1964,457.424705882353
"110","Ukraine",1965,524.16582278481
"111","Ukraine",1966,688.933766233766
"112","Ukraine",1967,500.628915662651
"113","Ukraine",1968,527.995180722892
"114","Ukraine",1969,552.798701298701
