"id","latitude","longitude","elevation","state","name"
"RSM00020046","80.6000","58.0000","22.0","","POLAR GMO IM.E.T.KRENKELJ"
"RSM00020049","81.8000","57.9700","51.0","","RUDOLF ISLAND"
"RSM00020069","79.5000","76.9800","10.0","","OSTROV VIZE"
"RSM00020087","79.5500","90.6200","7.0","","OSTROV GOLOMJANNYJ"
"RSM00020274","77.5000","82.2000","23.0","","OSTROV UEDINENIJA"
"RSM00020289","77.2000","96.4000","9.0","","RUSSKIJ"
"RSM00020292","77.7200","104.3000","12.0","","GMO IM.E.K.FEDOROVA"
"RSM00020353","76.8500","68.5500","10.0","","MYS ZELANIJA"
"RSM00020357","76.2000","63.6000","9.0","","RUSSKAJ-GAVAN'"
"RSM00020476","75.4200","88.9000","10.0","","STERLEGOVA"
"RSM00020594","76.2000","99.0700","11.0","","UST'-TAYMYRA (TAYMYR LAKE)"
"RSM00020667","73.3300","70.0294","6.0","","BELY ISLAND"
"RSM00020674","73.5000","80.4000","42.0","","DIKSON"
"RSM00020744","72.3794","52.7300","18.0","","MALIYE_KARMAKULY"
"RSM00020891","71.9831","102.4667","31.0","","HATANGA"
"RSM00020946","70.4500","59.0800","13.0","","IM.E.K.FEDOROVA(BOLVANSKII NOS"
"RSM00020967","70.1670","72.5170","17.8","","SEYAHA"
"RSM00020982","70.9700","94.5000","37.0","","VOLOCHANKA"
"RSM00021358","76.1500","152.8330","14.0","","ZOHOVA ISLAND"
"RSM00021432","76.0000","137.8700","12.0","","OSTROV KOTELNYJ"
"RSM00021504","74.6670","112.9330","57.0","","OSTROV PREOBRAZENIJ"
"RSM00021611","73.5500","118.6700","12.0","","TERPJAJ-TUMSA"
"RSM00021636","73.3330","139.9170","26.0","","CAPE KIGILYAKH"
"RSM00021647","73.1800","143.2297","21.0","","SHALAUROVA MYS"
"RSM00021802","71.9700","114.0800","16.0","","SASKYLAH"
"RSM00021824","71.5800","128.9197","6.0","","TIKSI"
"RSM00021908","70.1297","113.9700","61.0","","DZALINDA-1"
"RSM00021921","70.6800","127.4000","30.0","","KJUSJUR"
"RSM00021931","70.7700","136.2200","23.0","","JUBILEJNAJA"
"RSM00021946","70.6167","147.8831","44.0","","CHOKURDAH"
"RSM00021965","70.6330","162.4830","41.0","","OSTROV CHETYREHSTOL"
"RSM00021982","70.9831","-178.4833","2.0","","OSTROV VRANGELJA"
"RSM00022003","69.9300","31.9800","8.0","","VAJDA-GUBA"
"RSM00022019","69.2000","33.4797","32.0","","POLJARNOE"
"RSM00022028","69.2000","35.1000","33.0","","TERIBERKA"
"RSM00022095","69.5300","49.0800","23.0","","KOLGUEV SEVERNYI"
"RSM00022101","69.0000","28.8000","99.0","","JANISKOSKI"
"RSM00022106","68.6000","31.8500","63.0","","PADUN"
"RSM00022112","68.8830","33.0170","7.0","","KOLA-IN-MURMAN"
"RSM00022113","68.9667","33.0497","57.0","","MURMANSK"
"RSM00022119","68.4000","33.3000","143.0","","PULOSERO"
"RSM00022127","68.0000","35.0330","162.0","","LOVOZERO"
"RSM00022140","68.1500","39.8200","70.0","","SVYATOY NOS;CAPE(CLOSED)"
"RSM00022145","68.1500","39.8200","70.0","","SVYATOY NOS,CAPE(CLOSED)"
"RSM00022165","68.6500","43.3000","47.0","","KANIN NOS"
"RSM00022204","67.5697","30.4500","246.0","","KOVDOR"
"RSM00022212","67.9670","32.8830","132.0","","MONCEGORSK"
"RSM00022213","67.6800","33.2500","130.0","","KHIBINY"
"RSM00022217","67.1500","32.3500","26.0","","KANDALAKSA"
"RSM00022235","67.3700","37.0300","155.0","","KRASNOSHELYE"
"RSM00022249","67.1297","39.6700","149.0","","KANEVKA"
"RSM00022269","67.1500","43.9000","13.0","","MYS KONUSIN"
"RSM00022271","67.9000","44.1000","18.0","","SOJNA"
"RSM00022282","67.8000","46.6670","6.0","","MYS MIKULKIN"
"RSM00022292","67.7000","48.7700","4.0","","INDIGA"
"RSM00022312","66.7000","32.8830","18.0","","KOVDA"
"RSM00022318","66.0670","33.0000","94.0","","LOUHI"
"RSM00022324","66.6700","34.3300","39.0","","UMBA"
"RSM00022349","66.1830","39.5330","9.0","","PJALICA"
"RSM00022355","66.4800","40.6800","15.0","","OSTROV SOSNOVEZ"
"RSM00022365","66.3830","43.2500","21.0","","ABRAMOVSKIJ MAJAK"
"RSM00022383","66.7670","47.7830","9.0","","NIZHNYAYA PESHA"
"RSM00022408","65.2000","31.1700","118.0","","UKHTA KALEVALA"
"RSM00022422","65.9000","34.8164","9.0","","GRIDINO"
"RSM00022438","65.2000","36.8200","26.0","","ZHIZHGIN MAYAK"
"RSM00022446","65.4670","39.7330","77.0","","ZIMNEGORSKIJ MAJAK"
"RSM00022452","65.9670","40.7170","5.0","","INCY"
"RSM00022471","65.8700","44.2200","14.0","","MEZEN"
"RSM00022499","65.2330","49.5830","155.0","","BARKOVSKAJA"
"RSM00022511","64.7500","32.1160","97.0","","JUSKOZERO"
"RSM00022518","64.0830","32.7830","159.0","","RUGOZERO"
"RSM00022520","64.9831","34.8164","7.0","","KEM-PORT"
