id,latitude,longitude,elevation,state,name
KZ000028879,53.283,69.383,229,,KOKSHETAY
KZ000028978,52.533,68.75,399,,BALKASINO
KZ000028984,52.95,70.217,384,,SUCINSK
KZ000035067,51.883,66.333,221,,ESIL
KZ000035069,51.9,67.3,377,,JAKSI
KZ000035078,51.8167,68.3667,304,,ATBASAR
KZ000035081,52.4,70.2,331,,VOZNESENKA
KZ000035082,52.4,71.8,271,,"STEPNOGORSK,AMSG"
KZ000035085,52,70.95,384,,AKKOL
KZ000035163,51.6,67.567,272,,KIJMA
KZ000035166,51.267,67.233,252,,KAZGORODOK
KZ000035169,51.1,66.3,237,,DERJAVINSK
KZ000035173,51.617,69.8,305,,ZHALTYR
KZ000035179,51.1,69.5,340,,KRASNOZNAMENKA
KZ000035182,51.7,71,367,,"SHORTANDI,AGRO"
KZ000035184,51.3,70.7,322,,NOVO-ISHIMSKOE
KZ000035191,51.633,73.167,397,,JERMENTAU
KZ000035263,50.9,66.6,294,,IMENI LENIN.KOMSOMOLA
KZ000035283,50.8,72.3,426,,VISNEVKA
KZ000035284,50.583,70,330,,KURGALJINO
KZ000035381,50.2,70.3,370,,17_LET_OKTYABRYA
KZ000028764,54.5,65.8,160,,PRESNOGOR'KOVKA
KZ000028843,53.75,62.067,187,,KOMSOMOLEC
KZ000028854,53.75,63.167,184,,FYODOROV SOVKHOZ
KZ000028856,53.6,64.3,178,,"MIHAYLOVKA,KUSTANAY"
KZ000028861,53.8,65.3,180,,NOVOPOKROVKA
KZ000028867,53.317,65.55,210,,URICKY
KZ000028943,53.2,62.3,218,,ESENKULSKAYA
KZ000028948,52.717,61.167,260,,GEORGIYEVKA
KZ000028952,53.2167,63.6167,170,,KUSTANAI
KZ000028954,52.9,63.2,150,,RUDNIY
KZ000028957,52.683,62.6,208,,TOBOL
KZ000028967,52.667,65.5,209,,KARASUL
KZ000035042,52.2,61.2,255,,JETIGARA
KZ000035046,52,62.4,249,,KRASNOOKTYABRSKIY
KZ000035053,52.4,64.6,110,,KUSMURUN
KZ000035055,52,63.7,214,,DIEVSKAYA
KZ000035156,51.5,64.5,129,,NAURSUMSKIY_ZAPOVEDNIK
KZ000035157,51.1,62.9,258,,BES-TAU
KZ000035257,50.45,62.8,183,,APPROXIMATE LOCALE
KZ000035259,50.5,64.2,105,,ARAL
KZ000035358,49.63,63.5,124,,TURGAJ
KZ000035361,50.1,65.5,142,,AMANGEL'DY
KZ000035363,50.217,66.833,343,,ARKALYK
KZ000035368,49.5,66.1,210,,EKIDIN
KZ000035459,49,64.2,122,,SARLITAM
KZ000035467,48.9,65.533,223,,BRALI
KZ000028676,54.8331,69.15,142,,PETROPAVLOVSK
KZ000028687,54.9,70.45,134,,BULAYEVO
KZ000028766,54.367,66.967,153,,BLACOVESCHENKA
KZ000028775,54.4,68.4,115,,JAVLENKA
KZ000028779,54.2,69.5,139,,CHAGLI
KZ000028785,54.433,70.917,127,,VOZVISHEN SOVKHOZ
KZ000028863,53.9,67.4,128,,SERGEEVKA
KZ000028868,53.3,67,190,,"CHERBONNIY,SOVHOZ"
KZ000028873,53.833,69.783,153,,KRASNO-ARMEYSK
KZ000028877,53.317,68.1,319,,VOLODARSKOE
KZ000028884,53.6,70.5,165,,CHKALOVO
KZ000028886,53.633,72.367,138,,KZIL-TUS SOVKHOZ
KZ000028888,53.9,71.5,123,,"KZILTUSSKIY,SOVHOZ"
KZ000028894,53.7,73.2,69,,"OZERNIY,SOVHOZ"
KZ000028966,52.817,66.967,227,,RUZAEVKA
KZ000028975,52.9,68.2,330,,ARIC-BALIK
KZ000028986,52.967,71.933,196,,ZOLOTAJA NIVA
KZ000028997,52.7,73.7,89,,"KRASNOKUTSKIY,ZERNOSOVHOZ"
KZ000035188,51.1331,71.3667,350,,ASTANA
