id,latitude,longitude,elevation,state,name
RSM00027906,52.933,36,203,,OREL
RSM00034013,52.433,37.6,179,,LIVNY
RSM00034240,50.8,42,110,,URJUPINSK
RSM00034253,50.9,43.8,132,,ELAN'
RSM00034254,50.533,42.683,98,,NOVOANNENSKIJ
RSM00034262,50.833,44.567,114,,RUDNYA
RSM00034267,50.367,44.117,102,,DANILOVKA
RSM00034356,49.8,43.7,119,,FROLOVO
RSM00034357,49.567,42.75,200,,SERAFIMOVIC
RSM00034363,50.067,45.367,119,,KAMYSIN
RSM00034373,50.05,46.883,37,,PALLASOVKA
RSM00034452,49.3,43.08,88,,KLETSKAYA
RSM00034476,49.1,46.9,6,,EL-TON
RSM00034555,48.333,43.117,68,,NIZHNY-CHIR
RSM00034560,48.8,44.7,134,,VOLGOGRAD
RSM00034655,47.633,43.15,49,,KOTEL'NIKOVO
RSM00034003,52.32,36.3164,247,,PONYRI
RSM00034009,51.7667,36.1667,247,,KURSK
RSM00034027,51.783,38.133,191,,NOVO-KASTORNOE
RSM00034109,51.2,36.317,192,,OBOJAN
RSM00034123,51.7,39.2167,147,,VORONEZ
RSM00034139,51.05,40.7,194,,KAMENNAJA-STEP
RSM00034146,51.367,42.083,106,,BORISOGLEBSK
RSM00034231,50.9,39.5,115,,LISKI
RSM00034238,51.483,40.417,154,,ANNA
RSM00034247,50.4,41.1,92,,KALAC
RSM00034336,49.933,40.567,84,,BOGUCAR
RSM00028806,53.617,52.45,87,,BUGURUSLAN
RSM00028903,53,52.05,81,,"BOROVOYE, WOOD FARM"
RSM00028909,52.817,52.217,80,,BUZULUK
RSM00028916,52.933,54.75,190,,SARLYK
RSM00035011,52.4,53.1,123,,SOROCINSK
RSM00035015,52.083,53.633,139,,NOVOSERGIEVKA
RSM00035121,51.6831,55.1,117,,ORENBURG
RSM00035125,51.417,56.417,131,,BELJAEVKA
RSM00035127,51,55.6,143,,AK-BULAK
RSM00035133,51.5,59.9,285,,ADAMOVKA
RSM00035233,50.75,59.65,277,,DOMBAROVSKIJ
RSM00027595,55.7331,49.2,116,,KAZAN
RSM00027697,54.95,48.817,156,,TETJUSI
RSM00028506,55.77,52.0694,152,,YELABUGA
RSM00028517,55.6,53.1,112,,MENZELINSK
RSM00028601,55.317,50.617,113,,CISTOPOL
RSM00028611,55.317,53.2,80,,MUSLJUMOVO
RSM00028704,54.5,50.4,78,,CULPANOVO
RSM00028711,54.583,52.8,312,,BUGULMA
RSM00034056,52.25,43.783,213,,RTISCEVO
RSM00034063,52.283,45.4,199,,PETROVSK
RSM00034069,51.867,45.033,206,,ATKARSK
RSM00034072,52.333,46.367,302,,KARABULAK
RSM00034083,52.5,48.083,88,,HVALYNSK
RSM00034084,52.07,47.35,199,,PRIVOLSKAYA
RSM00034098,52.033,48.833,38,,PUGACEV
RSM00034152,51.55,43.15,157,,BALASHOV
RSM00034163,51.63,45.45,202,,OKTJABRSKIJ-GORODOK
RSM00034172,51.5667,46.0331,156,,SARATOW
RSM00034186,51.33,48.35,106,,ERSOV
RSM00034199,51.2,49.733,104,,OZINKI
RSM00034273,50.95,46.967,50,,KRASNYJ KUT
RSM00034288,50.52,47.67,39,,MALY UZEN'
RSM00034289,50.4,48.1,32,,NOVOUZENSK
RSM00034391,50.15,48.55,23,,ALEKSANDROV GAJ
RSM00035007,51.9,50.3,72,,PERELYUB
RSM00027928,52.633,38.517,168,,ELEC
RSM00027930,52.7,39.517,150,,LIPECK
RSM00034858,45.917,43.35,87,,DIVNOE
RSM00034949,45.05,42.02,473,,STAVROPOL (AMSG)
RSM00034954,45.35,42.85,140,,SVETLOGRAD
RSM00034958,45.1,43.45,162,,BLAGODARNYJ
RSM00034964,45.4,44.2,76,,ARZGIR
RSM00037036,44.633,41.967,343,,NEVINNOMYSSK
RSM00037050,44.09,43,531,,PJATIGORSK
RSM00037054,44.2,43.1,316,,MINERAL-NYE-VODY
RSM00037058,44.15,43.467,302,,GEORGIEVSK
RSM00037061,44.8,44.1,136,,BUDENNOVSK
RSM00037066,44.55,44.833,69,,ACHIKULAK
RSM00037123,43.9,42.72,890,,KISLOVODSK
RSM00034344,49.8,41.15,72,,KAZANSKAJA
RSM00034432,49.4,40.2,145,,CERTKOVO
RSM00034438,48.9,40.5,155,,MILLEROVO
